disease,standardized_disease_name,source,alt,group,order,family,genus,species,abbreviation,details,details1,details2,vector
brucella abortus,brucella abortus,oie,,bacteria,Hyphomicrobiales,Brucellaceae,Brucella,abortus,,gram-negative,aerobe,facultative intracellular,
enzootic abortion of ewes,enzootic abortion of ewes,oie,chlamydiosis,bacteria,Chlamydiales,"	Chlamydiaceae",Chlamydia,abortus,,gram-negative,anaerobe,obligate intracellular,
african horse sickness,african horse sickness,oie,,virus,Reovirales,Reoviridae,Orbivirus,African horse sickness virus,AHSV,RNA,double-stranded,,
african swine fever,african swine fever,oie,,virus,Asfuvirales,Reoviridae,Asfivirus,African swine fever virus,ASFV,DNA,double-stranded,,
contagious agalactia,contagious agalactia,oie,,bacteria,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,agalactiae,,gram-negative,facultative anaerobe,,
equine arteritis,equine arteritis,oie,,virus,Nidovirales,Arteriviridae,Alphaarterivirus,Alphaarterivirus equid,EAV,RNA,single-stranded,positive-sense,
equine viral arthritis,equine viral arthritis,oie,,virus,Nidovirales,Arteriviridae,Alphaarterivirus,Alphaarterivirus equid,EAV,RNA,single-stranded,positive-sense,
Anthrax,anthrax,aido,anthrax,bacteria,Bacillales,Bacillaceae,Bacillus,anthracis,,gram-positive,facultative anaerobe,,
anthrax,anthrax,oie,Anthrax,bacteria,Bacillales,Bacillaceae,Bacillus,anthracis,,gram-positive,facultative anaerobe,,
aphanomyces astaci,aphanomyces astaci,oie,crayfish pague,eukaryote,Saprolegniales,Leptolegniaceae,Aphanomyces,astaci,,mould,,,
crayfish plague,crayfish plague,oie,,eukaryote,Saprolegniales,Leptolegniaceae,Aphanomyces,astaci,,mould,,,
avian infectious bronchitis,avian infectious bronchitis,oie,,virus,Nidovirales,Coronaviridae,Gammacoronavirus,Avian coronavirus,IBV,RNA,single-stranded,positive-sense,
newcastle disease,newcastle disease,oie,,virus,Mononegavirales,Paramyxoviridae,Orthoavulavirus,Avian orthoavulavirus 1,NDV,RNA,single-stranded,negative-sense,
duck  hepatitis,duck hepatitis,oie,,virus,Picornavirales,Picornaviridae,Avihepatovirus,Avihepatovirus A,DHV-1,RNA,single-stranded,positive-sense,
porcine reproductive and respiratory syndrome,porcine reproductive and respiratory syndrome,oie,,virus,Nidovirales,Arteriviridae,Betaarterivirus,Betaarterivirus suid 1,PRRSV,RNA,single-stranded,positive-sense,
ovine bluetongue disease,ovine bluetongue disease,oie,,virus,Reovirales,Reoviridae,Orbivirus,Bluetongue virus,BTV,RNA,double-stranded,,
infectious bovine rhinotracheitis,infectious bovine rhinotracheitis,oie,,virus,Herpesvirales,Herpesviridae,Varicellovirus,Bovine alphaherpesvirus 1,BoHV-1,DNA,double-stranded,,
bovine leukosis,bovine leukosis,oie,,virus,Ortervirales,Retroviridae,Deltaretrovirus,Bovine leukemia virus,BLV,RNA,single-stranded,positive-sense,
