disease,standardized_disease_name,standardized_disease_name_alt,disease_group,disease_order,disease_family,disease_genus,disease_species,disease_abbreviation,disease_details,disease_details1,disease_details2,disease_vector
abalone icosahedral virus disease,abalone icosahedral virus disease,NA,virus,Herpesvirales,Malacoherpesviridae,Aurivirus,Haliotid herpesvirus 1,HaHV-1,DNA,double-stranded,NA,NA
acarapisosis,acarapisosis,NA,eukaryote,Trombidiformes,Tarsonemidae,Acarapis,woodi,NA,arachnid,NA,NA,NA
aeromonas hydrophila,aeromonas hydrophila,NA,bacteria,Aeromonadales,Aeromonadaceae,Aeromonas,hydrophila,NA,gram-negative,facultative anaerobe,NA,NA
aethina tumida,aethina tumida,small hive beetle inf.,eukaryote,Coleoptera,Nitidulidae,Aethina,tumida,NA,beetle,NA,NA,NA
african horse sickness,african horse sickness,NA,virus,Reovirales,Reoviridae,Orbivirus,African horse sickness virus,AHSV,RNA,double-stranded,NA,NA
african swine fever,african swine fever,NA,virus,Asfuvirales,Reoviridae,Asfivirus,African swine fever virus,ASFV,DNA,double-stranded,NA,NA
american fool brood,american fool brood,NA,bacteria,Bacillales,Paenibacillaceae,Paenibacillus,larvae,NA,gram-positive,facultative anaerobe,NA,NA
anthrax,anthrax,Anthrax,bacteria,Bacillales,Bacillaceae,Bacillus,anthracis,NA,gram-positive,facultative anaerobe,NA,NA
aphanomyces astaci,aphanomyces astaci,crayfish pague,eukaryote,Saprolegniales,Leptolegniaceae,Aphanomyces,astaci,NA,mould,NA,NA,NA
aphanomyces invadans,epizootic ulcerative syndrome,epizootic ulcerative syndrome,eukaryote,Saprolegniales,Leptolegniaceae,Aphanomyces,invadans,NA,mould,NA,NA,NA
aujeszkys disease,aujeszkys disease,pseudorabies,virus,Herpesvirales,Herpesviridae,Varicellovirus,Suid alphaherpesvirus 1,SuHV-1,DNA,double-stranded,NA,NA
avian chlamydiosis,avian chlamydiosis,NA,bacteria,Chlamydiales,Chlamydiaceae,Chlamydia,psittaci,NA,gram-negative,anaerobe,obligate intracellular,NA
avian infectious bronchitis,avian infectious bronchitis,NA,virus,Nidovirales,Coronaviridae,Gammacoronavirus,Avian coronavirus,IBV,RNA,single-stranded,positive-sense,NA
avian infectious laryngotracheitis,avian infectious laryngotracheitis,NA,virus,Herpesvirales,Herpesviridae,Iltovirus,Gallid alphaherpesvirus 1,GaHV-1,DNA,double-stranded,NA,NA
batrachochytrium dendrobatidis,batrachochytrium dendrobatidis,NA,eukaryote,Rhizophydiales,Batrachochytriaceae,Batrachochytrium,dendrobatidis,NA,fungus,NA,NA,NA
bonamia exitiosa,bonamia exitiosa,NA,eukaryote,Haplosporida,Haplosporidiidae,Bonamia,exitiosa,NA,rhizaria,NA,NA,NA
bonamia ostreae,bonamia ostreae,NA,eukaryote,Haplosporida,Haplosporidiidae,Bonamia,ostrea,NA,rhizaria,NA,NA,NA
bovine anaplasmosis,bovine anaplasmosis,NA,bacteria,Rickettsiales,Ehrlichiaceae,Anaplasma,NA,NA,gram-negative,aerobe,obligate intracellular,NA
bovine babesiosis,bovine babesiosis,piroplasmosis,eukaryote,Piroplasmida,NA,NA,NA,NA,alveolate,NA,NA,NA
bovine genital campylobacteriosis,bovine genital campylobacteriosis,campylobacteriosis,bacteria,Campylobacterales,Campylobacteraceae,Campylobacter,fetus,NA,gram-negative,microaerobe,NA,NA
bovine leukosis,bovine leukosis,NA,virus,Ortervirales,Retroviridae,Deltaretrovirus,Bovine leukemia virus,BLV,RNA,single-stranded,positive-sense,NA
bovine spongiform encephalopathy,bovine spongiform encephalopathy,mad cow disease,prion,NA,NA,NA,NA,NA,NA,NA,NA,NA
brucella abortus,brucella abortus,NA,bacteria,Hyphomicrobiales,Brucellaceae,Brucella,abortus,NA,gram-negative,aerobe,facultative intracellular,NA
brucella melitensis,brucellosis,Brucellosis,bacteria,Hyphomicrobiales,Brucellaceae,Brucella,melitensis,NA,gram-negative,aerobe,facultative intracellular,NA
brucellosis,brucellosis,Brucellosis,bacteria,Hyphomicrobiales,Brucellaceae,Brucella,melitensis,NA,gram-negative,aerobe,facultative intracellular,NA
caprine arthritis and encephalitis,caprine arthritis and encephalitis,NA,virus,Ortervirales,Retroviridae,Lentivirus,Caprine arthritis encephalitis virus,CAEV,RNA,single-stranded,positive-sense,NA
classical swine fever,classical swine fever,hog cholera,virus,Amarillovirales,Flaviviridae,Pestivirus,Pestivirus C,CSFV,RNA,single-stranded,positive-sense,NA
contagious agalactia,contagious agalactia,NA,bacteria,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,agalactiae,NA,gram-negative,facultative anaerobe,NA,NA
coronavirus,coronavirus,NA,virus,Nidovirales,Coronaviridae,NA,NA,NA,RNA,single-stranded,positive-sense,NA
crayfish plague,crayfish plague,NA,eukaryote,Saprolegniales,Leptolegniaceae,Aphanomyces,astaci,NA,mould,NA,NA,NA
decapod iridescent  1 infection,decapod iridescent 1 infection,NA,virus,Bunyavirales,Nairoviridae,Orthonairovirus,Orthonairovirus,CCHFV,RNA,single-stranded,negative-sense,NA
dourine,dourine,NA,eukaryote,Trypanosomatida,Trypanosomatidae,Trypanosoma,equiperdum,NA,kinetoplastid,NA,NA,NA
duck  hepatitis,duck hepatitis,NA,virus,Picornavirales,Picornaviridae,Avihepatovirus,Avihepatovirus A,DHV-1,RNA,single-stranded,positive-sense,NA
echinococcosis,echinococcosis,NA,eukaryote,Cyclophyllidea,Taeniidae,Echinococcus,NA,NA,platyhelminth,NA,NA,NA
enzootic abortion of ewes,enzootic abortion of ewes,chlamydiosis,bacteria,Chlamydiales,Chlamydiaceae,Chlamydia,abortus,NA,gram-negative,anaerobe,obligate intracellular,NA
epizootic haemorrhagic disease,epizootic hemorrhagic disease,epizootic hemorrhagic disease,virus,Reovirales,Reoviridae,Orbivirus,Epizootic hemorrhagic disease virus,NA,RNA,double-stranded,NA,NA
epizootic hemorrhagic disease,epizootic hemorrhagic disease,epizootic haemorrhagic disease,virus,Reovirales,Reoviridae,Orbivirus,Epizootic hemorrhagic disease virus,NA,RNA,double-stranded,NA,NA
epizootic ulcerative syndrome,epizootic ulcerative syndrome,aphanomyces invadans,eukaryote,Saprolegniales,Leptolegniaceae,Aphanomyces,invadans,NA,mould,NA,NA,NA
equine arteritis,equine arteritis,NA,virus,Nidovirales,Arteriviridae,Alphaarterivirus,Alphaarterivirus equid,EAV,RNA,single-stranded,positive-sense,NA
equine encephalitis,equine encephalitis,NA,virus,Martellivirales,Togaviridae,Alphavirus,NA,NA,RNA,single-stranded,positive-sense,NA
equine herpes virus,equine herpes virus,NA,virus,Herpesvirales,Herpesviridae,NA,NA,NA,DNA,double-stranded,NA,NA
equine infectious anaemia,equine infectious anaemia,swamp fever,virus,Ortervirales,Retroviridae,Lentivirus,Equine infectious anemia virus,EIAV,RNA,single-stranded,positive-sense,NA
equine influenza,equine influenza,NA,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,NA,RNA,single-stranded,negative-sense,NA
equine piroplasmosis,equine piroplasmosis,piroplasmosis,eukaryote,Piroplasmida,NA,NA,NA,NA,alveolate,NA,NA,NA
equine viral arthritis,equine viral arthritis,NA,virus,Nidovirales,Arteriviridae,Alphaarterivirus,Alphaarterivirus equid,EAV,RNA,single-stranded,positive-sense,NA
equine viral rhinopneumonitis,equine viral rhinopneumonitis,NA,virus,Herpesvirales,Herpesviridae,Varicellovirus,Equid alphaherpesvirus 4,EHV-4,DNA,double-stranded,NA,NA
foot-and-mouth disease,foot-and-mouth disease,Foot And Mouth Disease,virus,Picornavirales,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,FMDV,RNA,single-stranded,positive-sense,NA
fowl typhoid,fowl typhoid,NA,bacteria,Enterobacterales,Enterobacteriaceae,Salmonella,gallinarum,NA,gram-negative,facultative anaerobe,NA,NA
glanders,glanders,NA,bacteria,Burkholderiales,Burkholderiaceae,Burkholderia,mallei,NA,gram-negative,aerobe,NA,NA
gyrodactylosis,gyrodactylosis,Gyrodactylus,eukaryote,Gyrodactylidea,Gyrodactylidae,Gyrodactylus,salaris,NA,platyhelminth,NA,NA,na
heartwater,heartwater,cowdriosis,bacteria,Rickettsiales,Ehrlichiaceae,Ehrlichia,ruminantium,NA,gram-negative,aerobic,NA,tick
hemorrhagic septicemia,hemorrhagic septicemia,fowl cholera,bacteria,Pasteurellales,Pasteurellaceae,Pasteurella,multocida,NA,gram-negative,facultative anaerobe,NA,NA
hendra virus pneumonia,hendra virus pneumonia,NA,virus,Mononegavirales,Paramyxoviridae,Henipavirus,Hendra henipavirus,HeV,RNA,single-stranded,negative-sense,NA
hepatobacter penaei,necrotising hepatopancreatitis,Texas Pond Mortality Syndrome,bacteria,Rickettsiales,Incertae sedis,Hepatobacter,penaei,NA,gram-negative,NA,intracytoplasmic,NA
hepatopancreatitis in prawns,hepatopancreatitis in prawns,Texas necrotizing hepatopancreatitis,bacteria,Vibrionales,Vibrionaceae,Vibrio,parahaemolyticus,NA,gram-negative,facultatively aerobic,NA,NA
herpesvirus,herpesvirus,NA,virus,Herpesvirales,Herpesviridae,NA,NA,NA,DNA,double-stranded,NA,NA
