taxon,standardized_taxon_name,common_name,taxon_class,taxon_order,taxon_family,taxon_genus,taxon_species,notes
freshwater drum (aplodinotus grunniens):sciaenidae-farmed fish,fish,freshwater drum,actinopterygii,acanthuriformes,sciaenidae,aplodinotus,grunniens,
aplodinotus grunniens,fish,freshwater drum,actinopterygii,acanthuriformes,sciaenidae,aplodinotus,grunniens,
aplodinotus grunniens (fau),fish,freshwater drum,actinopterygii,acanthuriformes,sciaenidae,aplodinotus,grunniens,
channa aurantimaculata,fish,orangespotted snakehead,actinopterygii,anabanthiformes,channidae,channa,aurantimaculata,
rachycentron canadum,fish,cobia,actinopterygii,carangiformes,Rachycentridae,rachycentron,canadum,
seriola dumerili,fish,greater amberjack,actinopterygii,carangiformes,carangidae,seriola,dumerili,
african pike (hepsetus odoe (fau)):hepsetidae-wild fish,fish,african pike characin,actinopterygii,characiformes,hepsetidae,hepsetus,odoe,
hepsetus odoe (fau),fish,african pike characin,actinopterygii,characiformes,hepsetidae,hepsetus,odoe,
redbreast tilapia (tilapia rendalli (fau)):cichlidae-wild fish,fish,redbreast tilapia,actinopterygii,cichliformes,cichlidae,coptodon,rendalli,
tilapia rendalli (fau),fish,redbreast tilapia,actinopterygii,cichliformes,cichlidae,coptodon,rendalli,genus updated to coptodon
tilapia (oreochromis spp (fau)):cichlidae-wild fish,fish,,actinopterygii,cichliformes,cichlidae,oreochromini,,
tilapia (oreochromis spp):cichlidae-farmed fish,fish,,actinopterygii,cichliformes,cichlidae,oreochromini,,
oreochromis spp,fish,,actinopterygii,cichliformes,cichlidae,oreochromini,,
oreochromis spp (fau),fish,,actinopterygii,cichliformes,cichlidae,oreochromini,,
nile tilapia (oreochromis niloticus):cichlidae-farmed fish,fish,nile tilapia,actinopterygii,cichliformes,cichlidae,oreochromis,niloticus,
oreochromis niloticus,fish,nile tilapia,actinopterygii,cichliformes,cichlidae,oreochromis,niloticus,
banded tilapia (tilapia sparrmanii (fau)):cichlidae-wild fish,fish,banded tilapia,actinopterygii,cichliformes,cichlidae,tilapia,sparrmanii,
